SDSS_ID continuum continuum_lines powerlaw_exp powerlaw_norm
1489-52991-0142 1.4197877161084917e-12 1.5076599377921929e-12 -1.045606388774471 104483.44997412284
0686-52519-0199 3.961539352335628e-13 4.1773159966630027e-13 -1.5398987233139745 1370177.8411738293
0388-51793-0436 5.441672594698782e-13 5.717150557739194e-13 -1.5838962699793446 2641841.9425267363
1090-52903-0294 3.228032336786695e-13 3.387901520919204e-13 -1.355877236862703 268644.2592606205
0389-51795-0412 4.706869064247786e-13 4.990645517716045e-13 -1.4933568271985513 1136564.4862248565
0389-51795-0111 7.235369348965234e-13 7.453065197142359e-13 -1.3056860647938757 407547.55235306936
0387-51791-0200 2.6240445160810454e-12 2.764025903100779e-12 -1.8689650434634204 113073633.14541851
0387-51791-0111 5.055596418897671e-13 5.348476130042782e-13 -1.3846690083368987 526144.2366988853
0686-52519-0173 4.3755467734639294e-13 4.653528852292348e-13 -1.4917951484681224 1043886.3405136435
0388-51793-0002 9.44815335999336e-13 1.0037071676741221e-12 -1.2296335590969483 294135.92345019226
1090-52903-0121 8.827349681233573e-13 9.268091479878328e-13 -1.5004790337376146 2252116.055952824
0387-51791-0116 1.113384670644369e-12 1.1865984383009535e-12 -1.3391450529175566 813596.4895039442
1489-52991-0581 8.05013538346754e-13 8.174424444449036e-13 -0.31180804545632984 169.56237942067784
0387-51791-0169 5.879584410985597e-13 6.092129842206232e-13 -1.8401886509697418 20345694.201223973
0390-51900-0328 3.6968194189544876e-13 3.775837012116439e-13 -1.050261383357628 28219.784546564526
0387-51791-0028 4.0209523122048095e-13 4.2536961263702533e-13 -1.3056057335446685 226347.08900138587
0687-52518-0204 1.4152714217533952e-12 1.4656391278053456e-12 -1.7889954362309506 33131664.32513059
1090-52903-0403 4.1887416837698985e-13 4.455898691617575e-13 0.2755157537435607 0.7264207934626966
1489-52991-0597 4.4955391104745643e-13 4.584998377468632e-13 0.25215058383132793 0.9452457972343804
0388-51793-0181 9.461000481956368e-13 9.835358681893524e-13 -1.7815333238919637 20920620.82287027
0388-51793-0474 4.739714587611341e-13 5.021354001356889e-13 -1.0914926460857335 50025.710225993535
0388-51793-0499 3.907060728347561e-13 4.1084798930967833e-13 -1.19274556268702 91172.73072213381
0388-51793-0303 3.836912384278997e-13 4.0308492978188826e-13 -1.0869377110849259 39074.11356184878
0387-51791-0109 7.11197351362891e-13 7.629195232715354e-13 -1.3760033981952757 692008.9099779592
0390-51900-0331 3.1924996927521517e-13 3.39396008733686e-13 -1.5565596119189504 1255561.2205956602
0387-51791-0575 7.34336763354261e-13 7.77022852721888e-13 -0.8949055567052219 16456.010096497288
1490-52994-0368 4.33111101234863e-13 4.600859017007047e-13 -1.3130783299245992 258407.86956054252
0387-51791-0057 8.795133966823336e-13 9.485977920186104e-13 -1.4318564736897241 1319664.6164528895
0687-52518-0418 4.738999813660756e-13 5.019204198759555e-13 -1.5400142461534196 1640539.3215681585
0389-51795-0355 1.154124105954878e-12 1.2391890482822827e-12 -1.4292724799412915 1697385.5441683996
1090-52903-0210 4.1762685397927367e-13 4.402902503671776e-13 -1.6389545663793095 3096667.5037375605
